component,gene_index,loading,abs_loading,novelty_weight,gene
7,318,-0.0699969655908445,0.0699969655908445,0.3796898449224613,CISD3
7,1021,0.06878073073067595,0.06878073073067595,0.856928464232116,MGAT4A
7,889,0.06767316324351857,0.06767316324351857,0.943471735867934,JCHAIN
7,578,-0.06652741908403216,0.06652741908403216,0.09454727363681836,ERBB2
7,366,0.065882764459646,0.065882764459646,0.8749374687343672,COPA
7,561,0.06455860600042689,0.06455860600042689,0.7913956978489245,EMC10
7,726,-0.06396004368881432,0.06396004368881432,0.2071035517758879,H2AFJ
7,778,0.06158271753976506,0.06158271753976506,0.7188594297148574,HNRNPD
7,1484,-0.060932353881917124,0.060932353881917124,0.32466233116558274,ROMO1
7,1541,0.06039281492562397,0.06039281492562397,0.575287643821911,SERINC3
7,1182,0.060329756633518486,0.060329756633518486,0.6463231615807904,OS9
7,803,-0.06028852753592473,0.06028852753592473,0.5697848924462231,HSPA9
7,1967,-0.060231989116360816,0.060231989116360816,0.3556778389194597,YWHAH
7,68,-0.060184709124342047,0.060184709124342047,0.8829414707353677,APMAP
7,336,0.0586153561731663,0.0586153561731663,0.4822411205602801,CMPK1
7,843,-0.05786397859517886,0.05786397859517886,0.9589794897448725,IGHA1
7,716,-0.05771455975203137,0.05771455975203137,0.663831915957979,GTF2I
7,170,0.05717245242948507,0.05717245242948507,0.8309154577288644,BPTF
7,1319,-0.0564019950525816,0.0564019950525816,0.2706353176588294,PPP4C
7,413,-0.05542934568898348,0.05542934568898348,0.31465732866433216,CTSD
7,88,-0.05520424539131267,0.05520424539131267,0.5287643821910956,ARHGDIA
7,1760,0.05513557967225215,0.05513557967225215,0.5432716358179089,TM9SF2
7,119,0.05512809983523606,0.05512809983523606,0.9069534767383691,ATF7IP
7,849,-0.054576624249185045,0.054576624249185045,0.8014007003501751,IGKC
8,907,-0.5361839084768262,0.5361839084768262,0.8669334667333667,KPNA2
8,170,-0.2199838829975347,0.2199838829975347,0.8309154577288644,BPTF
8,1021,0.21527495413853098,0.21527495413853098,0.856928464232116,MGAT4A
8,108,0.1912895601310189,0.1912895601310189,0.8584292146073036,ARPC4
