gene,fold_change,pvalue_adjusted,negative_log10_qvalue,significant,direction
RABGAP1L,-0.0015519860581746647,0.9992165819317324,0.0003403674865063624,False,other
MGAT5,0.00013664239464782069,0.9999999974159123,1.1222550396861084e-09,False,other
TMEM163,-0.002847131601488584,0.0009474562967349197,3.0234408135758324,True,other
HSPB8,-0.0006893930770378587,0.9999999974159123,1.1222550396861084e-09,False,other
ARL11,1.1970235673793017e-05,0.9999999974159123,1.1222550396861084e-09,False,other
SETBP1,0.00019533593108164368,0.9999999974159123,1.1222550396861084e-09,False,other
SPC25,0.0005703945927412902,0.9999999974159123,1.1222550396861084e-09,False,other
CCDC50,0.0009884229244937412,0.9999999974159123,1.1222550396861084e-09,False,other
CAMK4,-0.00012525105785991981,0.9999999974159123,1.1222550396861084e-09,False,other
TMEM123,-0.0012123819864301305,0.9999999974159123,1.1222550396861084e-09,False,other
SPARCL1,0.00016846940534496167,0.9999999974159123,1.1222550396861084e-09,False,other
GJA1,0.0007519466151100357,0.9999999974159123,1.1222550396861084e-09,False,other
RASGRP3,-0.001959097687952889,0.45566967043783496,0.3413498772763239,False,other
HHEX,0.0007239034059401753,0.9999999974159123,1.1222550396861084e-09,False,other
LGI2,0.001315345245969643,0.017317118203765615,1.7615243786197015,True,other
CARHSP1,-9.535865837090318e-05,0.9999999974159123,1.1222550396861084e-09,False,other
BANK1,0.0016984499488333499,0.9999999974159123,1.1222550396861084e-09,False,other
DAB2,6.674651155721273e-05,0.9999999974159123,1.1222550396861084e-09,False,other
FAM49B,-0.00014778626920382287,0.9999999974159123,1.1222550396861084e-09,False,other
LPCAT1,0.0002464285147823764,0.9999999974159123,1.1222550396861084e-09,False,other
C16orf89,-0.00014789650359711866,0.9999999974159123,1.1222550396861084e-09,False,other
CD8A,-1.4319843595783123e-06,0.9999999974159123,1.1222550396861084e-09,False,other
MCOLN2,-0.00024212950311733664,0.9999999974159123,1.1222550396861084e-09,False,other
LGI4,8.87431125487061e-05,0.9999999974159123,1.1222550396861084e-09,False,other
GRAP,-0.000295878085048492,0.9999999974159123,1.1222550396861084e-09,False,other
ANKRD29,0.0009542697030083813,0.9999999974159123,1.1222550396861084e-09,False,other
THY1,0.0019092213864804822,0.9999999974159123,1.1222550396861084e-09,False,other
C16orf74,0.0004029339389038794,0.9999999974159123,1.1222550396861084e-09,False,other
ROBO4,0.0001254907941798996,0.9999999974159123,1.1222550396861084e-09,False,other
NRGN,2.4027927900591682e-05,0.9999999974159123,1.1222550396861084e-09,False,other
ABI3BP,-0.002420140179413041,5.309409052820885e-05,4.27495381401853,True,other
LRRK1,-0.00022825154525640823,0.9999999974159123,1.1222550396861084e-09,False,other
ABCA9,-1.1814135137438477e-05,0.9999999974159123,1.1222550396861084e-09,False,other
BUB3,-0.00038020128775220416,0.9999999974159123,1.1222550396861084e-09,False,other
CNTNAP3B,-3.250659536370719e-05,0.9999999974159123,1.1222550396861084e-09,False,other
PDLIM3,-0.0006542705846351721,0.9999999974159123,1.1222550396861084e-09,False,other
SORBS2,8.626479286518015e-05,0.9999999974159123,1.1222550396861084e-09,False,other
JAM2,-0.0002760175552014065,0.9999999974159123,1.1222550396861084e-09,False,other
ADAMTS1,-0.0001307673831058686,0.9999999974159123,1.1222550396861084e-09,False,other
ADAMTS5,0.00012053217363550009,0.9999999974159123,1.1222550396861084e-09,False,other
FGD5,0.0002378549929978272,0.9999999974159123,1.1222550396861084e-09,False,other
VOPP1,-0.0004533921888482534,0.9999999974159123,1.1222550396861084e-09,False,other
OXA1L,-0.000196187950385375,0.9999999974159123,1.1222550396861084e-09,False,other
SLC7A7,0.0005562662424890424,0.9999999974159123,1.1222550396861084e-09,False,other
PIK3AP1,0.0003882108506243209,0.9999999974159123,1.1222550396861084e-09,False,other
OTOA,-1.839750482381477e-05,0.9999999974159123,1.1222550396861084e-09,False,other
SLA,-3.1606245109640912e-06,0.9999999974159123,1.1222550396861084e-09,False,other
KCNMA1,-0.00012635225816783925,0.9999999974159123,1.1222550396861084e-09,False,other
BATF,0.00010681989505689857,0.9999999974159123,1.1222550396861084e-09,False,other
DCK,-2.9904370437122685e-05,0.9999999974159123,1.1222550396861084e-09,False,other
DRAM2,0.000435969112316123,0.9999999974159123,1.1222550396861084e-09,False,other
CXCL13,0.03024395467629115,1.6428380999237366e-37,36.784405233749496,True,up
CCT8,7.476259619530745e-05,0.9999999974159123,1.1222550396861084e-09,False,other
TSPAN7,4.0626126998027316e-05,0.9999999974159123,1.1222550396861084e-09,False,other
TIAM1,-0.00015416763371964813,0.9999999974159123,1.1222550396861084e-09,False,other
PHF6,0.00028478953267840196,0.9999999974159123,1.1222550396861084e-09,False,other
MS4A1,0.0005100355851371807,0.9999999974159123,1.1222550396861084e-09,False,other
ATAD2,-5.833482887974105e-05,0.9999999974159123,1.1222550396861084e-09,False,other
BUB1B,0.00027864740541757096,0.9999999974159123,1.1222550396861084e-09,False,other
SMG1,-0.00040867273671816445,0.9999999974159123,1.1222550396861084e-09,False,other
RBPMS,0.00043079152009731225,0.9999999974159123,1.1222550396861084e-09,False,other
SUSD3,-0.0006350630977921996,0.9999999974159123,1.1222550396861084e-09,False,other
KIT,2.7434007746867067e-05,0.9999999974159123,1.1222550396861084e-09,False,other
CCNB2,9.22646575780145e-05,0.9999999974159123,1.1222550396861084e-09,False,other
FAM81A,3.0522000616796385e-05,0.9999999974159123,1.1222550396861084e-09,False,other
MYO1E,-0.0007499732518122179,0.9999999974159123,1.1222550396861084e-09,False,other
AFAP1L1,1.0514695111180951e-05,0.9999999974159123,1.1222550396861084e-09,False,other
ERG,-0.00013090083188566255,0.9999999974159123,1.1222550396861084e-09,False,other
ETS2,9.854255467485386e-05,0.9999999974159123,1.1222550396861084e-09,False,other
MX1,-0.003143508960289247,0.16572059962729171,0.7806235039620081,False,other
CREB3L1,0.0001122457112952991,0.9999999974159123,1.1222550396861084e-09,False,other
SNX22,0.0002086553475253855,0.9999999974159123,1.1222550396861084e-09,False,other
LDLRAP1,-0.00017121165075092287,0.9999999974159123,1.1222550396861084e-09,False,other
TMSB15A,9.328858886066549e-05,0.9999999974159123,1.1222550396861084e-09,False,other
CLSTN2,0.0001758675501379735,0.9999999974159123,1.1222550396861084e-09,False,other
TSPAN33,0.0009543664393311183,0.9999999974159123,1.1222550396861084e-09,False,other
CD1D,0.00013631210927503822,0.9999999974159123,1.1222550396861084e-09,False,other
CD1C,0.00032007927718523746,0.9999999974159123,1.1222550396861084e-09,False,other
NCF1,0.001054508490132583,0.9999999974159123,1.1222550396861084e-09,False,other
SLAMF8,-7.292668192751626e-05,0.9999999974159123,1.1222550396861084e-09,False,other
ADAMTS4,0.00017610487381689022,0.9999999974159123,1.1222550396861084e-09,False,other
FCER1G,-3.144681249668026e-05,0.9999999974159123,1.1222550396861084e-09,False,other
CDC42SE2,-9.659407352134025e-05,0.9999999974159123,1.1222550396861084e-09,False,other
EPB41,0.0003219482322875285,0.9999999974159123,1.1222550396861084e-09,False,other
IFNGR2,0.00027302940976732526,0.9999999974159123,1.1222550396861084e-09,False,other
CSRP1,0.0002989139310305977,0.9999999974159123,1.1222550396861084e-09,False,other
C1QC,-0.00010658089724942602,0.9999999974159123,1.1222550396861084e-09,False,other
PSMD4,-4.3637910174275374e-05,0.9999999974159123,1.1222550396861084e-09,False,other
C1R,0.0006128880340205284,0.9999999974159123,1.1222550396861084e-09,False,other
AMFR,-0.0006154959798907109,0.9999999974159123,1.1222550396861084e-09,False,other
ADGRG5,-0.0001152794108126784,0.9999999974159123,1.1222550396861084e-09,False,other
ACE,0.00026301809094743736,0.9999999974159123,1.1222550396861084e-09,False,other
CTBP1,0.0003466814239330013,0.9999999974159123,1.1222550396861084e-09,False,other
TPPP3,9.953334947609927e-05,0.9999999974159123,1.1222550396861084e-09,False,other
TNFRSF13C,0.0007257384166388658,0.9999999974159123,1.1222550396861084e-09,False,other
SSU72,-0.00023751096356926932,0.9999999974159123,1.1222550396861084e-09,False,other
TFF3,-9.256541342695247e-06,0.9999999974159123,1.1222550396861084e-09,False,other
ICOSLG,-0.0005354158345684187,0.9999999974159123,1.1222550396861084e-09,False,other
AIRE,0.00025147875358415284,0.9999999974159123,1.1222550396861084e-09,False,other
S100B,5.201905210580832e-05,0.9999999974159123,1.1222550396861084e-09,False,other
SHKBP1,4.520768555606701e-05,0.9999999974159123,1.1222550396861084e-09,False,other
NEK8,-0.00010009233833652847,0.9999999974159123,1.1222550396861084e-09,False,other
SAFB,0.0002737749835637071,0.9999999974159123,1.1222550396861084e-09,False,other
CD3G,-6.311675539199852e-05,0.9999999974159123,1.1222550396861084e-09,False,other
S100A1,0.0006086136619666491,0.0005927135058935622,3.2271551765770456,True,other
