gene,hvg_score,svg_score,hvg_norm,svg_norm,final_weight,is_sc_hvg,selected_in_plugin
ATP6V1B2,0.2205283262752312,0.16502534042517547,0.8802196475983587,0.9368211440984794,0.908520395848419,False,1
LZTS1,0.02171979069872151,0.03384659416138249,0.4124426743905383,0.6424088824523292,0.5274257784214338,True,0
GFRA2,0.0026641871602508293,0.0,0.22501810282404056,0.2035662563359884,0.21429217958001448,False,0
DOK2,0.39049247063132414,0.11477910374253691,0.9528119720009655,0.8930726526671494,0.9229423123340574,False,1
XPO7,0.042358173865654075,0.031411425049339754,0.5228699010378952,0.6268404537774559,0.5748551774076756,False,0
NPM2,0.0033302949010410193,0.0,0.23962104755008448,0.2035662563359884,0.22159365194303643,False,0
FGF17,0.0,0.0,0.042360608254887765,0.2035662563359884,0.12296343229543809,False,0
DMTN,0.020924416138921972,0.012232501732292183,0.40773594013999515,0.4527516292541636,0.43024378469707936,False,0
FAM160B2,0.05439196383969064,0.034389280355391724,0.5736784938450398,0.6468139029688631,0.6102461984069514,False,0
NUDT18,0.03769018221800611,0.009399124036017364,0.5031378228336953,0.426381848901762,0.4647598358677287,False,0
HR,0.0027027390924688243,0.00032340525906169226,0.22610427226647356,0.35487569394158824,0.2904899831040309,False,0
REEP4,0.06607287841901054,0.023831401511025453,0.6156167028723147,0.5629374849143133,0.5892770938933141,False,0
BMP1,0.074184053182815,0.09727227664772509,0.6421675114651219,0.8688752111996139,0.7555213613323679,False,0
PHYHIP,0.0029732933880107166,0.0,0.23244026068066617,0.2035662563359884,0.2180032585083273,False,0
POLR3D,0.0697597603497938,0.022194801521064258,0.6287714216751147,0.5485155684286749,0.5886434950518948,False,0
PIWIL2,0.0016233281462998156,0.0,0.19768283852280955,0.2035662563359884,0.20062454742939898,False,0
SLC39A14,0.044029546741315935,0.0067037638164224225,0.5302920588945209,0.4030895486362539,0.4666908037653874,False,0
PPP3CC,0.24025018893455607,0.08787730315051123,0.8929519671735457,0.8533671252715423,0.8731595462225441,False,0
SORBS3,0.1267771158277531,0.14707146377138028,0.7716630461018585,0.9250543084721217,0.8483586772869901,False,0
PDLIM2,0.28760596549859324,0.1501161831688788,0.917994207096307,0.926743905382573,0.92236905623944,False,1
