scene,scene_index,group,marker_percentile
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9027043829654958
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.850170966739198
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8711532483680448
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9132732359341001
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9379857009636308
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8587193036990985
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9597451041342866
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9159154491762511
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9048803232825614
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8912029841467205
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9611439229095431
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8644700031084862
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8523469070562636
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8529686042897109
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.89710910786447
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9179359651849549
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8751942803854523
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9096984768417781
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9571028908921355
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8568542119987566
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.930525334162263
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9843021448554554
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9202673298103824
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9850792663972645
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9473111594653404
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9905191171899285
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8955548647808518
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.901616412806963
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8988187752564502
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9327012744793286
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9505750699409388
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8629157600248679
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9609884986011812
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9042586260491141
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.885296860428971
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8506372396642835
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9636307118433323
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9274168479950264
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8654025489586571
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8837426173453529
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9373640037301834
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9174696922598694
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9353434877214797
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8526577556729873
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9883431768728629
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9555486478085172
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8759714019272614
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8672676406589991
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8633820329499534
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.887161952129313
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8814112527199254
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9078333851414361
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.936897730805098
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8786136151694125
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9211998756605533
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9199564811936587
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9235312402859808
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9216661485856388
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8747280074603668
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8927572272303388
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.856543363382033
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9292819396953683
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.944979794839913
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.898974199564812
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9258626049114081
