rank,gene,stat,hit,running_es,CellType
8303,HSPA1L,0.0014908500015735626,False,0.392034876312242,CD4 T cells
8304,C19orf73,0.0014901282265782356,False,0.3919644339341073,CD4 T cells
8305,DOK4,0.001488488749600947,False,0.3918939915559726,CD4 T cells
8306,HEXIM2,0.0014879852533340454,False,0.3918235491778379,CD4 T cells
8307,ZG16B,0.00148705393075943,False,0.3917531067997032,CD4 T cells
8308,KREMEN2,0.0014822949888184667,False,0.3916826644215685,CD4 T cells
8309,OR52N2,0.0014802925288677216,False,0.3916122220434338,CD4 T cells
8310,ARL4A,0.0014778375625610352,False,0.39154177966529913,CD4 T cells
8311,GABRQ,0.001476675271987915,False,0.39147133728716443,CD4 T cells
8312,CENPA,0.0014749926049262285,False,0.39140089490902974,CD4 T cells
8313,MMP11,0.001472971518523991,False,0.39133045253089505,CD4 T cells
8314,PLCH2,0.001471981406211853,False,0.39126001015276035,CD4 T cells
8315,PPM1L,0.0014711292460560799,False,0.39118956777462566,CD4 T cells
8316,UNC93B1,0.001469864509999752,False,0.39111912539649096,CD4 T cells
8317,FBXL19,0.0014698454178869724,False,0.39104868301835627,CD4 T cells
8318,CTNND2,0.00146954832598567,False,0.3909782406402216,CD4 T cells
8319,LPAR2,0.0014691054821014404,False,0.3909077982620869,CD4 T cells
8320,FCER1G,0.0014675837010145187,False,0.3908373558839522,CD4 T cells
8321,ELAVL4,0.0014657499268651009,False,0.3907669135058175,CD4 T cells
8322,TNK2,0.0014587044715881348,False,0.3906964711276828,CD4 T cells
8323,ECHDC3,0.0014515359653159976,False,0.3906260287495481,CD4 T cells
8324,ZNF292,0.00144881010055542,False,0.3905555863714134,CD4 T cells
8325,GPC1,0.0014463486149907112,False,0.3904851439932787,CD4 T cells
8326,CIZ1,0.0014438480138778687,False,0.390414701615144,CD4 T cells
8327,TCP10L,0.0014391867443919182,False,0.39034425923700933,CD4 T cells
8328,SLC35F1,0.0014318227767944336,False,0.39027381685887463,CD4 T cells
8329,TRMU,0.001431688666343689,False,0.39020337448073994,CD4 T cells
8330,HBEGF,0.001431584358215332,False,0.39013293210260525,CD4 T cells
8331,EP300,0.0014300942420959473,False,0.39006248972447055,CD4 T cells
8332,PTPRF,0.001427588053047657,False,0.38999204734633586,CD4 T cells
