scenario,dataset_label,scrna_label,masked_label,method,display_method,cell_type,actual_cell_type,cell_label,feature,NES,P-value,ES,peak_rank,n_cells,n_close,n_far,n_genes_used
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells,"HER2+ BRCA
FFPE",Wu et al.,T-cells,CytoSPACE,CytoSPACE,Plasma cells,Plasma cells,Plasma cells,CE10,1.3689009331079947,0.06593406593406594,0.6293355978475117,636,2835,1419,1416,12
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells,"HER2+ BRCA
FFPE",Wu et al.,T-cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD4 T cells,CD4 T cells,CD4 T cells,CE9,0.7683369011431325,0.8981018981018981,0.20680489379208086,152,5265,2637,2628,181
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells,"HER2+ BRCA
FFPE",Wu et al.,T-cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD4 T cells,CD4 T cells,CD4 T cells,CE10,0.5070262607040696,0.991008991008991,0.1379673148431731,342,5265,2637,2628,131
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells,"HER2+ BRCA
FFPE",Wu et al.,T-cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD8 T cells,CD8 T cells,CD8 T cells,CE9,0.4580661664563875,0.9280719280719281,0.09129792865012822,127,5265,2637,2628,80
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells,"HER2+ BRCA
FFPE",Wu et al.,T-cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD8 T cells,CD8 T cells,CD8 T cells,CE10,1.7819248295082093,0.06493506493506493,0.3965532122971524,407,5265,2637,2628,33
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells,"HER2+ BRCA
FFPE",Wu et al.,T-cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Mono/Mac,Monocytes and Macrophages,Mono/Mac,CE9,-3.4482135840687094e-13,1.0,-3.9239445026595376e-14,2000,5265,2633,2632,196
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells,"HER2+ BRCA
FFPE",Wu et al.,T-cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Mono/Mac,Monocytes and Macrophages,Mono/Mac,CE10,5.396608811813801,0.000999000999000999,0.6223772644438541,357,5265,2633,2632,223
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells,"HER2+ BRCA
FFPE",Wu et al.,T-cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",B cells,B cells,B cells,CE9,1.7622170721258246,0.08391608391608392,0.3832147971819533,215,5266,2637,2629,30
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells,"HER2+ BRCA
FFPE",Wu et al.,T-cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",B cells,B cells,B cells,CE10,-5.109780834200416e-15,1.0,-1.3877787807814457e-15,2000,5266,2637,2629,12
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells,"HER2+ BRCA
FFPE",Wu et al.,T-cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Plasma cells,Plasma cells,Plasma cells,CE9,1.3226282677776866,0.07192807192807193,0.5715827271297018,424,2974,1504,1470,20
cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells,"HER2+ BRCA
FFPE",Wu et al.,T-cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Plasma cells,Plasma cells,Plasma cells,CE10,1.419979762061664,0.060939060939060936,0.6462787891410067,596,2974,1504,1470,12
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts,TNBC BRCA,Wu et al.,Fibroblasts,CytoSPACE,CytoSPACE,CD4 T cells,CD4 T cells,CD4 T cells,CE9,2.329199201572867,0.000999000999000999,0.645937626730558,400,2201,1119,1082,203
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts,TNBC BRCA,Wu et al.,Fibroblasts,CytoSPACE,CytoSPACE,CD4 T cells,CD4 T cells,CD4 T cells,CE10,0.003134336518557898,1.0,0.0008667465661505586,23,2201,1119,1082,207
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts,TNBC BRCA,Wu et al.,Fibroblasts,CytoSPACE,CytoSPACE,CD8 T cells,CD8 T cells,CD8 T cells,CE9,1.9081291556775926,0.000999000999000999,0.527330613654654,307,2201,1110,1091,92
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts,TNBC BRCA,Wu et al.,Fibroblasts,CytoSPACE,CytoSPACE,CD8 T cells,CD8 T cells,CD8 T cells,CE10,7.301942131302635e-14,0.999000999000999,2.0192181260370035e-14,2000,2201,1110,1091,81
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts,TNBC BRCA,Wu et al.,Fibroblasts,CytoSPACE,CytoSPACE,Mono/Mac,Monocytes and Macrophages,Mono/Mac,CE9,0.3228390957051111,0.998001998001998,0.06655743372777023,95,2201,1102,1099,205
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts,TNBC BRCA,Wu et al.,Fibroblasts,CytoSPACE,CytoSPACE,Mono/Mac,Monocytes and Macrophages,Mono/Mac,CE10,2.0090375805554275,0.000999000999000999,0.40337108902721797,457,2201,1102,1099,305
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts,TNBC BRCA,Wu et al.,Fibroblasts,CytoSPACE,CytoSPACE,B cells,B cells,B cells,CE9,1.3022942958422268,0.2037962037962038,0.41361551889789966,134,2201,1101,1100,30
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts,TNBC BRCA,Wu et al.,Fibroblasts,CytoSPACE,CytoSPACE,B cells,B cells,B cells,CE10,0.2879010360685206,0.9560439560439561,0.09700713495536423,335,2201,1101,1100,18
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts,TNBC BRCA,Wu et al.,Fibroblasts,CytoSPACE,CytoSPACE,Plasma cells,Plasma cells,Plasma cells,CE9,0.8076812876936174,0.7712287712287712,0.3195317307478628,511,2201,1183,1018,22
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts,TNBC BRCA,Wu et al.,Fibroblasts,CytoSPACE,CytoSPACE,Plasma cells,Plasma cells,Plasma cells,CE10,1.6418498137687734,0.01098901098901099,0.7153016545209022,187,2201,1183,1018,11
