condition,source_type,receiver_type,coupling
SVTuner,CD8 T cells,PVL,0.003674309229864785
SVTuner,CD8 T cells,Plasma cells,0.0
SVTuner,CD8 T cells,T-cells,0.0019596315892612187
SVTuner,CD8 T cells,Abstained,0.00837742504409171
SVTuner,Endothelial cells,B cells,0.0021555947481873405
SVTuner,Endothelial cells,CD4 T cells,0.002155594748187341
SVTuner,Endothelial cells,CD8 T cells,0.0019596315892612187
SVTuner,Endothelial cells,Endothelial cells,0.002890456594160298
SVTuner,Endothelial cells,Epithelial cells,0.0002449539486576524
SVTuner,Endothelial cells,Fibroblasts,0.003968253968253966
SVTuner,Endothelial cells,Monocytes and Macrophages,0.0004899078973153048
SVTuner,Endothelial cells,NK cells,0.002498530276308054
SVTuner,Endothelial cells,PVL,0.001959631589261219
SVTuner,Endothelial cells,Plasma cells,0.0
SVTuner,Endothelial cells,T-cells,0.0001959631589261219
SVTuner,Endothelial cells,Abstained,0.0008818342151675485
SVTuner,Epithelial cells,B cells,4.899078973153047e-05
SVTuner,Epithelial cells,CD4 T cells,9.798157946306095e-05
SVTuner,Epithelial cells,CD8 T cells,0.00014697236919459142
SVTuner,Epithelial cells,Endothelial cells,0.0
SVTuner,Epithelial cells,Epithelial cells,0.0
SVTuner,Epithelial cells,Fibroblasts,4.899078973153047e-05
SVTuner,Epithelial cells,Monocytes and Macrophages,4.899078973153047e-05
SVTuner,Epithelial cells,NK cells,4.899078973153047e-05
