profile_mask_sample,raw_sample,masked_target_type,spot_id,masked_support,masked_support_norm,baseline_target_like_score,route2_target_like_score,rank,baseline_low_score_hit_weight,baseline_running_es,route2_low_score_hit_weight,route2_running_es
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1673_111198,0.0,0.0,0.07061855670103093,0.07061855670103093,614,0.1805031446540881,0.021616512374102382,0.2156126482213439,0.05105294666097985
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1676_111313,0.0,0.0,0.07061855670103093,0.07061855670103093,615,0.1805031446540881,0.021965781950457487,0.2156126482213439,0.05155454173330986
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1680_124621,0.0,0.0,0.07923930269413629,0.07923930269413629,616,0.0,0.02153192364857888,0.0,0.05112068343143125
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1681_117134,0.0,0.0,0.11536281179138322,0.11536281179138322,617,0.0,0.021098065346700272,0.0,0.050686825129552644
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1684_111794,0.0,0.0,0.07923930269413629,0.07923930269413629,618,0.0,0.020664207044821664,0.0,0.05025296682767404
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1687_125376,0.0,0.0,0.06357649442755825,0.06357649442755825,619,1.0,0.024568931761729123,1.0,0.05415769154458149
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1691_116394,0.0,0.0,0.07923930269413629,0.11536281179138322,620,0.0,0.024135073459850515,0.0,0.053723833242702884
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1692_124555,0.0,0.0,0.07923930269413629,0.07923930269413629,621,0.0,0.023701215157971908,0.0,0.053289974940824276
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1696_130956,0.0,0.0,0.07061855670103093,0.07061855670103093,622,0.1805031446540881,0.024050484734327013,0.2156126482213439,0.05379157001315429
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1697_117131,0.0,0.0,0.11536281179138322,0.07923930269413629,623,0.0,0.023616626432448405,0.0,0.05335771171127568
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1698_130432,0.0,0.0,0.07923930269413629,0.07923930269413629,624,0.0,0.023182768130569797,0.0,0.05292385340939707
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1699_125331,0.0,0.0,0.07923930269413629,0.07923930269413629,625,0.0,0.02274890982869119,0.0,0.052489995107518464
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1700_125284,0.0,0.0,0.07061855670103093,0.07061855670103093,626,0.1805031446540881,0.023098179405046295,0.2156126482213439,0.052991590179848475
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1701_130398,0.0,0.0,0.07923930269413629,0.11536281179138322,627,0.0,0.022664321103167687,0.0,0.05255773187796987
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1702_111085,0.0,0.0,0.07923930269413629,0.09258632362897765,628,0.0,0.02223046280128908,0.0,0.05212387357609126
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1703_130367,0.0,0.0,0.07923930269413629,0.07923930269413629,629,0.0,0.021796604499410472,0.0,0.05169001527421265
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1706_111443,0.0,0.0,0.07061855670103093,0.07061855670103093,630,0.1805031446540881,0.022145874075765577,0.2156126482213439,0.05219161034654266
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1708_125410,0.0,0.0,0.09258632362897765,0.09258632362897765,631,0.0,0.02171201577388697,0.0,0.051757752044664054
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1709_130466,0.0,0.0,0.6375313283208021,0.11536281179138322,632,0.0,0.021278157472008362,0.0,0.05132389374278545
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1711_116371,0.0,0.0,0.07061855670103093,0.07061855670103093,633,0.1805031446540881,0.021627427048363467,0.2156126482213439,0.05182548881511546
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1712_124735,0.0,0.0,0.07923930269413629,0.07923930269413629,634,0.0,0.02119356874648486,0.0,0.05139163051323685
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1716_124510,0.0,0.0,0.09258632362897765,0.09258632362897765,635,0.0,0.020759710444606252,0.0,0.05095777221135824
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1719_124731,0.0,0.0,0.09258632362897765,0.09258632362897765,636,0.0,0.020325852142727644,0.0,0.050523913909479634
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1722_111516,0.0,0.0,0.11536281179138322,0.09258632362897765,637,0.0,0.019891993840849036,0.0,0.050090055607601026
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1726_125413,0.0,0.0,0.07061855670103093,0.07061855670103093,638,0.1805031446540881,0.02024126341720414,0.2156126482213439,0.05059165067993104
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1728_130423,0.0,0.0,0.5572916666666666,0.5572916666666666,639,0.0,0.019807405115325534,0.0,0.05015779237805243
