file_path,file_type,file_size_mb,detected_role,read_success,n_rows,n_cols,candidate_reference,notes
data/processed/cytospace_fig2c_melanoma/cytospace_fig2c_melanoma_mel1_rep2/stage1_preprocess/exported/sc_expression_normalized.csv,csv,310.126,scRNA_expression,True,,,True,binary or large file inventory only
data/processed/cytospace_fig2c_melanoma/cytospace_fig2c_melanoma_mel1_rep2/stage1_preprocess/exported/st_expression_normalized.csv,csv,16.344,scRNA_expression,True,,14521.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2c_melanoma/cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages/stage1_preprocess/exported/sc_expression_normalized.csv,csv,310.126,scRNA_expression,True,,,True,binary or large file inventory only
data/processed/cytospace_fig2c_melanoma/cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages/stage1_preprocess/exported/st_expression_normalized.csv,csv,16.703,scRNA_expression,True,,14521.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2c_melanoma/cytospace_fig2c_melanoma_mel2_rep1/stage1_preprocess/exported/sc_expression_normalized.csv,csv,315.703,scRNA_expression,True,,,True,binary or large file inventory only
data/processed/cytospace_fig2c_melanoma/cytospace_fig2c_melanoma_mel2_rep1/stage1_preprocess/exported/st_expression_normalized.csv,csv,21.731,scRNA_expression,True,,14804.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2c_melanoma_mel1_rep2_profile_mask_endothelial_cells/stage1_preprocess/exported/sc_expression_normalized.csv,csv,310.126,scRNA_expression,True,,,True,binary or large file inventory only
data/processed/cytospace_fig2c_melanoma_mel1_rep2_profile_mask_endothelial_cells/stage1_preprocess/exported/st_expression_normalized.csv,csv,16.652,scRNA_expression,True,,14521.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages/stage1_preprocess/exported/sc_expression_normalized.csv,csv,310.126,scRNA_expression,True,,,True,binary or large file inventory only
data/processed/cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages/stage1_preprocess/exported/st_expression_normalized.csv,csv,16.703,scRNA_expression,True,,14521.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2c_melanoma_mel2_rep1/stage1_preprocess/exported/sc_expression_normalized.csv,csv,315.703,scRNA_expression,True,,,True,binary or large file inventory only
data/processed/cytospace_fig2c_melanoma_mel2_rep1/stage1_preprocess/exported/st_expression_normalized.csv,csv,21.731,scRNA_expression,True,,14804.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells/stage1_preprocess/exported/sc_expression_normalized.csv,csv,315.703,scRNA_expression,True,,,True,binary or large file inventory only
data/processed/cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells/stage1_preprocess/exported/st_expression_normalized.csv,csv,22.024,scRNA_expression,True,,14804.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_profile_mask/cytospace_fig2c_melanoma_mel1_rep2_profile_mask_endothelial_cells/stage1_preprocess/exported/sc_expression_normalized.csv,csv,310.126,scRNA_expression,True,,,True,binary or large file inventory only
data/processed/cytospace_fig2d_profile_mask/cytospace_fig2c_melanoma_mel1_rep2_profile_mask_endothelial_cells/stage1_preprocess/exported/st_expression_normalized.csv,csv,16.652,scRNA_expression,True,,14521.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_profile_mask/cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells/stage1_preprocess/exported/sc_expression_normalized.csv,csv,315.703,scRNA_expression,True,,,True,binary or large file inventory only
data/processed/cytospace_fig2d_profile_mask/cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells/stage1_preprocess/exported/st_expression_normalized.csv,csv,22.024,scRNA_expression,True,,14804.0,True,header read only for Phase 3 inventory
